Mouse_ID,Treatment,Injury,Probe,Escape_latency_s
Vehicle_CCI_0mm_10,Vehicle,CCI,0mm,1.804
Vehicle_CCI_0mm_11,Vehicle,CCI,0mm,7.452
Vehicle_CCI_0mm_12,Vehicle,CCI,0mm,1.314
Vehicle_CCI_5mm_01,Vehicle,CCI,5mm,17.566
Vehicle_CCI_5mm_02,Vehicle,CCI,5mm,14.7
Vehicle_CCI_5mm_03,Vehicle,CCI,5mm,15.534
Vehicle_CCI_5mm_04,Vehicle,CCI,5mm,17.55
Vehicle_CCI_5mm_05,Vehicle,CCI,5mm,18.266
Vehicle_CCI_5mm_06,Vehicle,CCI,5mm,17.516
Vehicle_CCI_5mm_07,Vehicle,CCI,5mm,17.137
Vehicle_CCI_5mm_08,Vehicle,CCI,5mm,16.892
Vehicle_CCI_5mm_09,Vehicle,CCI,5mm,15.335
Vehicle_CCI_5mm_10,Vehicle,CCI,5mm,16.338
Vehicle_CCI_5mm_11,Vehicle,CCI,5mm,16.681
Vehicle_CCI_5mm_12,Vehicle,CCI,5mm,18.687
Pregabalin_Naive_0mm_01,Pregabalin,Naive,0mm,2.323
Pregabalin_Naive_0mm_02,Pregabalin,Naive,0mm,0.688
Pregabalin_Naive_0mm_03,Pregabalin,Naive,0mm,2.912
Pregabalin_Naive_0mm_04,Pregabalin,Naive,0mm,0.215
Pregabalin_Naive_0mm_05,Pregabalin,Naive,0mm,2.127
Pregabalin_Naive_0mm_06,Pregabalin,Naive,0mm,3.669
Pregabalin_Naive_0mm_07,Pregabalin,Naive,0mm,0.61
Pregabalin_Naive_0mm_08,Pregabalin,Naive,0mm,1.018
Pregabalin_Naive_0mm_09,Pregabalin,Naive,0mm,1.659
Pregabalin_Naive_0mm_10,Pregabalin,Naive,0mm,1.079
Pregabalin_Naive_0mm_11,Pregabalin,Naive,0mm,0.072
Pregabalin_Naive_0mm_12,Pregabalin,Naive,0mm,1.629
Pregabalin_Naive_5mm_01,Pregabalin,Naive,5mm,4.216
Pregabalin_Naive_5mm_02,Pregabalin,Naive,5mm,13.876
Pregabalin_Naive_5mm_03,Pregabalin,Naive,5mm,5.115
Pregabalin_Naive_5mm_04,Pregabalin,Naive,5mm,20.646
Pregabalin_Naive_5mm_05,Pregabalin,Naive,5mm,5.971
Pregabalin_Naive_5mm_06,Pregabalin,Naive,5mm,8.872
Pregabalin_Naive_5mm_07,Pregabalin,Naive,5mm,16.014
Pregabalin_Naive_5mm_08,Pregabalin,Naive,5mm,3.156
Pregabalin_Naive_5mm_09,Pregabalin,Naive,5mm,12.328
Pregabalin_Naive_5mm_10,Pregabalin,Naive,5mm,19.119
Pregabalin_Naive_5mm_11,Pregabalin,Naive,5mm,0.787
Pregabalin_Naive_5mm_12,Pregabalin,Naive,5mm,12.059
Pregabalin_CCI_0mm_01,Pregabalin,CCI,0mm,3.211
Pregabalin_CCI_0mm_02,Pregabalin,CCI,0mm,1.899
Pregabalin_CCI_0mm_03,Pregabalin,CCI,0mm,1.549
Pregabalin_CCI_0mm_04,Pregabalin,CCI,0mm,1.739
Pregabalin_CCI_0mm_05,Pregabalin,CCI,0mm,3.645
Pregabalin_CCI_0mm_06,Pregabalin,CCI,0mm,4.724
Pregabalin_CCI_0mm_07,Pregabalin,CCI,0mm,4.558
Pregabalin_CCI_0mm_08,Pregabalin,CCI,0mm,5.979
Pregabalin_CCI_0mm_09,Pregabalin,CCI,0mm,3.878
Pregabalin_CCI_0mm_10,Pregabalin,CCI,0mm,7.595
Pregabalin_CCI_0mm_11,Pregabalin,CCI,0mm,3.161
Pregabalin_CCI_0mm_12,Pregabalin,CCI,0mm,10.863
Pregabalin_CCI_5mm_01,Pregabalin,CCI,5mm,13.233
Pregabalin_CCI_5mm_02,Pregabalin,CCI,5mm,5.096
Pregabalin_CCI_5mm_03,Pregabalin,CCI,5mm,3.924
Pregabalin_CCI_5mm_04,Pregabalin,CCI,5mm,12.448
Pregabalin_CCI_5mm_05,Pregabalin,CCI,5mm,8.574
Pregabalin_CCI_5mm_06,Pregabalin,CCI,5mm,13.718
Pregabalin_CCI_5mm_07,Pregabalin,CCI,5mm,12.397
Pregabalin_CCI_5mm_08,Pregabalin,CCI,5mm,9.4
Pregabalin_CCI_5mm_09,Pregabalin,CCI,5mm,5.153
Pregabalin_CCI_5mm_10,Pregabalin,CCI,5mm,1.487
Pregabalin_CCI_5mm_11,Pregabalin,CCI,5mm,7.35
Pregabalin_CCI_5mm_12,Pregabalin,CCI,5mm,14.499
Morphine_Naive_0mm_01,Morphine,Naive,0mm,2.288
Morphine_Naive_0mm_02,Morphine,Naive,0mm,3.514
Morphine_Naive_0mm_03,Morphine,Naive,0mm,2.725
Morphine_Naive_0mm_04,Morphine,Naive,0mm,0.688
Morphine_Naive_0mm_05,Morphine,Naive,0mm,7.531
Morphine_Naive_0mm_06,Morphine,Naive,0mm,0.936
Morphine_Naive_0mm_07,Morphine,Naive,0mm,9.195
Morphine_Naive_0mm_08,Morphine,Naive,0mm,6.79
Morphine_Naive_0mm_09,Morphine,Naive,0mm,5.375
Morphine_Naive_0mm_10,Morphine,Naive,0mm,0.362
Morphine_Naive_0mm_11,Morphine,Naive,0mm,2.842
Morphine_Naive_0mm_12,Morphine,Naive,0mm,12.832
Morphine_Naive_5mm_01,Morphine,Naive,5mm,24.768
Morphine_Naive_5mm_02,Morphine,Naive,5mm,11.92
Morphine_Naive_5mm_03,Morphine,Naive,5mm,21.278
Morphine_Naive_5mm_04,Morphine,Naive,5mm,26.945
Morphine_Naive_5mm_05,Morphine,Naive,5mm,5.907
Morphine_Naive_5mm_06,Morphine,Naive,5mm,25.137
Morphine_Naive_5mm_07,Morphine,Naive,5mm,14.656
Morphine_Naive_5mm_08,Morphine,Naive,5mm,25.374
Morphine_Naive_5mm_09,Morphine,Naive,5mm,13.782
Morphine_Naive_5mm_10,Morphine,Naive,5mm,4.73
Morphine_Naive_5mm_11,Morphine,Naive,5mm,6.271
Morphine_Naive_5mm_12,Morphine,Naive,5mm,20.833
Morphine_CCI_0mm_01,Morphine,CCI,0mm,7.453
Morphine_CCI_0mm_02,Morphine,CCI,0mm,4.326
Morphine_CCI_0mm_03,Morphine,CCI,0mm,4.611
Morphine_CCI_0mm_04,Morphine,CCI,0mm,2.045
Morphine_CCI_0mm_05,Morphine,CCI,0mm,1.786
Morphine_CCI_0mm_06,Morphine,CCI,0mm,1.974
Morphine_CCI_0mm_07,Morphine,CCI,0mm,4.806
Morphine_CCI_0mm_08,Morphine,CCI,0mm,2.014
Morphine_CCI_0mm_09,Morphine,CCI,0mm,4.447
Morphine_CCI_0mm_10,Morphine,CCI,0mm,10.561
Morphine_CCI_0mm_11,Morphine,CCI,0mm,6.438
Morphine_CCI_0mm_12,Morphine,CCI,0mm,2.339
Morphine_CCI_5mm_01,Morphine,CCI,5mm,18.368
Morphine_CCI_5mm_02,Morphine,CCI,5mm,10.946
Morphine_CCI_5mm_03,Morphine,CCI,5mm,3.428
Morphine_CCI_5mm_04,Morphine,CCI,5mm,8.179
Morphine_CCI_5mm_05,Morphine,CCI,5mm,4.2
Morphine_CCI_5mm_06,Morphine,CCI,5mm,11.207
Morphine_CCI_5mm_07,Morphine,CCI,5mm,12.913
Morphine_CCI_5mm_08,Morphine,CCI,5mm,20.56
Morphine_CCI_5mm_09,Morphine,CCI,5mm,14.336
Morphine_CCI_5mm_10,Morphine,CCI,5mm,11.818
Morphine_CCI_5mm_11,Morphine,CCI,5mm,16.653
Morphine_CCI_5mm_12,Morphine,CCI,5mm,2.63
